dbn,locationname,school_type,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,,,,p_q1b,,,,p_q1c,,,,p_q1d,,,,p_q1e,,,,p_q1f,,,,p_q1g,,,,p_q1h,,,,p_q1i,,,,p_q1j,,,,p_q1k,,,,p_q1l,,,,p_q1m,,,,p_q1n,,,,p_q1o,,,,p_q1p,,,,p_q1q,,,,p_q1r,,,,p_q2a,,,,,p_q2b,,,,,p_q2c,,,,,p_q2d,,,,,p_q2e,,,,,p_q2f,,,,,p_q2g,,,,,p_q2h,,,,,p_q2i,,,,,p_q2j,,,,,p_q3a,,,,p_q3b,,,,p_q4a,,,,p_q4b,,,,p_q4c,,,,p_q4d,,,,p_q5a,,,,p_q5b,,,,p_q5c,,,,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,,,,,,,,,,p_q9,,,,p_q10a,,,,p_q10b
01M015,P.S. 015 Roberto Clemente,ES,8.17886,8.64845,8.3,8.6,8.76404,,,,8.5,,,,8.48315,,,,8.95604,,,,8.80556,,,,8.32418,,,,8.48901,,,,8.72222,,,,8.2337,,,,8.62637,,,,8.32418,,,,8.52778,,,,8.48901,,,,8.40116,,,,7.95977,,,,7.76786,,,,7.84375,,,,8.75,,,,8.8,,,,,8.5,,,,,8.4,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.5,,,,Not Scored,,,,8.93678,,,,8.23864,,,,8.64943,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.04348,,,,7.84091,,,,7.5
01M019,P.S. 019 Asher Levy,ES,8.44872,8.47238,8.1,8.5,8.68697,,,,8.53376,,,,8.16456,,,,8.67155,,,,8.80342,,,,8.07203,,,,8.2265,,,,8.61354,,,,7.65823,,,,8.43487,,,,8.59244,,,,8.53125,,,,8.51496,,,,8.30851,,,,8.50858,,,,7.6413,,,,7.42991,,,,8.53009,,,,8.6,,,,,8.6,,,,,8.8,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.22707,,,,Not Scored,,,,8.33705,,,,8.44027,,,,8.71622,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.5119,,,,8.69048,,,,8.35366
01M020,P.S. 020 Anna Silver,ES,8.18,8.45706,8,8.5,8.67036,,,,8.45506,,,,8.09286,,,,8.65972,,,,8.82353,,,,8.38732,,,,8.27031,,,,8.46045,,,,7.88244,,,,8.35434,,,,8.51826,,,,8.3427,,,,8.16011,,,,8.19915,,,,8.31429,,,,7.63235,,,,7.55917,,,,8.63181,,,,8.7,,,,,8.5,,,,,8.4,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.29286,,,,Not Scored,,,,8.50142,,,,8.28125,,,,8.28571,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.06604,,,,8.125,,,,7.9
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,8.31795,8.52585,8.2,8.5,8.62,,,,8.42742,,,,8.50806,,,,8.91129,,,,8.96694,,,,8.30645,,,,8.33333,,,,8.47107,,,,7.85124,,,,8.47561,,,,8.42742,,,,8.58,,,,8.47107,,,,8.31301,,,,8.49593,,,,8.02521,,,,7.84483,,,,8.75,,,,8.4,,,,,8.7,,,,,8.5,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.52083,,,,Not Scored,,,,8.31967,,,,8.29167,,,,8.25,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.40909,,,,8.57143,,,,7.5
01M063,The STAR Academy – P.S.63,ES,8.65487,8.86389,8.4,8.7,9.14352,,,,9.0367,,,,8.87615,,,,8.89151,,,,9.03302,,,,8.1713,,,,8.6215,,,,8.91509,,,,8.41121,,,,8.72685,,,,8.75,,,,8.94495,,,,8.72685,,,,8.44907,,,,8.65741,,,,7.96117,,,,7.77174,,,,8.9,,,,8.6,,,,,8.7,,,,,8.5,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.71429,,,,Not Scored,,,,8.64486,,,,8.67925,,,,9.02381,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.33333,,,,9.1,,,,8.3
01M064,P.S. 064 Robert Simon,ES,7.94317,8.26769,8,8.4,8.37696,,,,7.94503,,,,7.8886,,,,8.52632,,,,8.82979,,,,8.45238,,,,8.23138,,,,8.3871,,,,7.85904,,,,8.20106,,,,8.09896,,,,8.34635,,,,7.9712,,,,8.25,,,,7.86842,,,,7.43316,,,,7.61429,,,,8.52273,,,,8.6,,,,,8.2,,,,,8.5,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.62088,,,,Not Scored,,,,8.31579,,,,8.04233,,,,8.35106,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.69531,,,,7.65873,,,,7.70833
01M110,P.S. 110 Florence Nightingale,ES,7.79418,8.19322,7.8,8.2,8.35345,,,,8.23883,,,,7.82872,,,,7.98611,,,,8.87931,,,,7.99308,,,,7.55226,,,,8.47028,,,,7.5519,,,,7.86458,,,,7.7931,,,,8.15331,,,,7.91522,,,,7.98443,,,,8.02265,,,,7.32407,,,,6.97115,,,,8.28125,,,,8.3,,,,,8.3,,,,,8.4,,,,,7.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.43881,,,,Not Scored,,,,7.87456,,,,7.96875,,,,8.46154,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.5,,,,7.75,,,,6.98276
01M134,P.S. 134 Henrietta Szold,ES,6.77811,7.61193,6.6,8.2,8.10897,,,,7.75641,,,,6.73077,,,,8.83117,,,,8.78205,,,,5.97403,,,,8.4,,,,8.01948,,,,5.9,,,,7.17949,,,,6.73077,,,,5.98684,,,,5.64103,,,,6.2013,,,,6.80921,,,,5.17241,,,,5.09615,,,,8.60169,,,,8.9,,,,,8.7,,,,,5.3,,,,,6.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.59211,,,,Not Scored,,,,8.09211,,,,7.59868,,,,6.94079,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.08333,,,,8.33333,,,,7.08333
01M137,P.S. 137 John L. Bernstein,ES,8.46822,8.67857,8.2,8.5,8.9433,,,,8.46354,,,,8.22165,,,,8.9433,,,,8.97368,,,,8.56383,,,,8.55263,,,,8.82813,,,,8.07292,,,,8.71134,,,,8.58247,,,,8.7234,,,,8.64362,,,,8.62903,,,,8.61702,,,,7.83854,,,,7.66667,,,,8.52273,,,,8.5,,,,,8.8,,,,,8.5,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.14362,,,,Not Scored,,,,8.84021,,,,8.35052,,,,8.81443,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.5,,,,8.33333,,,,8.03571
01M140,P.S. 140 Nathan Straus,ES/MS,8.55354,8.67733,8.3,8.7,8.87597,,,,8.74016,,,,8.30153,,,,8.85827,,,,8.93701,,,,8.60236,,,,8.54331,,,,8.9959,,,,8.44,,,,8.6,,,,8.75969,,,,8.57422,,,,8.70155,,,,8.46899,,,,8.62205,,,,8.26772,,,,8.2839,,,,8.81356,,,,8.9,,,,,8.7,,,,,8.5,,,,,8.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.08871,,,,Not Scored,,,,8.74031,,,,8.77016,,,,8.87097,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.33333,,,,8.21429,,,,8.375
