dbn,locationname,school_type,rr_p,rr_t,rr_s,aca_tot_13,com_tot_13,eng_tot_13,saf_tot_13
01M015,P.S. 015 Roberto Clemente,ES,66,100,N/A,8.34978,8.33701,8.1,8.4
01M019,P.S. 019 Asher Levy,ES,96,97,N/A,8.72977,8.7849,8.5,8.6
01M020,P.S. 020 Anna Silver,ES,71,79,N/A,7.89791,7.6353,7.7,8.1
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,40,88,94,8.0936,8.08175,7.7,7.5
01M063,The STAR Academy – P.S.63,ES,70,100,N/A,7.9863,7.68309,7.4,8.2
01M064,P.S. 064 Robert Simon,ES,78,85,N/A,8.76902,8.90217,8.8,9
01M110,P.S. 110 Florence Nightingale,ES,86,94,N/A,7.28721,7.03864,7,7.8
01M134,P.S. 134 Henrietta Szold,ES,29,74,N/A,6.73076,6.68764,6.5,7.5
01M137,P.S. 137 John L. Bernstein,ES,74,79,N/A,8.06521,7.68006,7.4,7.7
01M140,P.S. 140 Nathan Straus,ES/MS,41,85,96,8.14504,7.99951,7.5,7.8
01M142,P.S. 142 Amalia Castro,ES,90,100,N/A,8.33528,8.03344,8,8.2
01M184,P.S. 184m Shuang Wen,ES/MS,65,68,100,7.42783,6.90278,6.6,7.5
01M188,P.S. 188 The Island School,ES/MS,59,61,81,9.32474,9.39978,9.3,9.3
01M292,Henry Street School for International Studies,MS/HS,48,94,74,8.08332,8.26644,7.9,7.9
01M301,"Technology, Arts, and Sciences Studio",MS,39,100,92,7.94215,8.30572,7.6,7.6
01M315,The East Village Community School,ES,64,86,N/A,8.62789,8.73324,8.8,8.7
01M332,University Neighborhood Middle School,MS,91,100,99,8.63692,8.87442,8.5,8.5
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,53,71,97,7.6955,7.51228,7.2,7.4
01M361,The Children's Workshop School,ES,31,36,N/A,8.28089,8.87997,8.7,8.9
01M363,Neighborhood School,ES,62,96,N/A,8.06214,8.0104,8.3,8.6
01M364,Earth School,ES,58,87,N/A,8.98128,8.99833,9,9.1
01M378,School for Global Leaders,MS,71,96,93,8.6,7.89754,7.8,8.4
01M448,University Neighborhood High School,HS,26,86,79,8.07941,7.71185,7.3,8
01M450,East Side Community School,MS/HS,33,92,75,8.70712,8.75054,8.5,8.6
01M458,Forsyth Satellite Academy,HST,20,92,70,8.04548,7.80972,7.6,7.9
01M509,Marta Valle High School,HS,10,75,46,6.89766,6.34833,6.4,6.8
01M515,Lower East Side Preparatory High School,HST,64,100,96,8.52659,8.25184,8.2,8.6
01M539,"New Explorations into Science, Technology and Math High School",ES/MS/HS,46,57,96,7.87206,6.6981,6.8,8
01M650,Cascades High School,HST,30,100,87,8.7755,8.82404,8.4,8.6
01M696,Bard High School Early College,HS,50,57,91,8.32527,8.26738,8.2,8.5
01M839,Tompkins Square Middle School,MS,40,69,98,8.3867,8.01176,7.8,8.3
02M001,P.S. 001 Alfred E. Smith,ES,57,78,N/A,7.55179,6.45799,7,7.2
02M002,P.S. 002 Meyer London,ES,95,80,N/A,7.95274,7.84356,7.6,8.2
02M003,P.S. 003 Charrette School,ES,74,94,N/A,8.90004,8.96233,9,8.9
02M006,P.S. 006 Lillie D. Blake,ES,65,88,N/A,8.84658,8.28294,8.5,8.8
02M011,P.S. 011 William T. Harris,ES,55,89,N/A,8.72926,8.71823,8.7,8.8
02M033,P.S. 033 Chelsea Prep,ES,83,92,N/A,8.95284,8.68884,8.9,9
02M040,P.S. 040 Augustus Saint-Gaudens,ES,41,63,N/A,8.24383,8.63468,8.5,8.8
02M041,P.S. 041 Greenwich Village,ES,73,96,N/A,8.98233,9.09671,9,9.2
02M042,P.S. 042 Benjamin Altman,ES,91,93,N/A,8.40331,8.60679,8.3,8.7
02M047,47 The American Sign Language and English Secondary School,HS,40,90,95,8.01244,7.84727,7.4,8.3
02M051,P.S. 051 Elias Howe,ES,81,96,N/A,8.66314,8.77969,8.5,8.8
