dbn,locationname,p_rr,t_rr,s_rr,colab,eff_leaders,rig_instr,stg_ties,supp_env,trust,par_sat,stu_sat,tch_sat
01M015,P.S. 015 Roberto Clemente,0.36,0.96,N/A,0.96,0.94,0.88,0.92,0.78,0.94,0.92,N/A,0.9
01M019,P.S. 019 Asher Levy,1,0.9,N/A,0.91,0.91,0.94,0.92,0.92,0.94,0.93,N/A,0.92
01M020,P.S. 020 Anna Silver,0.4,0.59,N/A,0.62,0.33,0.58,0.8,0.73,0.55,0.72,N/A,0.56
01M034,P.S. 034 Franklin D. Roosevelt,0.25,0.49,0.95,0.73,0.8,0.79,0.91,0.65,0.87,0.94,0.69,0.77
01M063,The Star Academy - P.S.63,0.63,1,N/A,0.94,0.97,0.9,0.95,0.92,0.95,0.94,N/A,0.94
01M064,P.S. 064 Robert Simon,0.22,0.72,N/A,0.89,0.88,0.9,0.86,0.86,0.86,0.87,N/A,0.87
01M110,P.S. 110 Florence Nightingale,0.77,0.69,N/A,0.8,0.83,0.87,0.92,0.88,0.84,0.92,N/A,0.83
01M134,P.S. 134 Henrietta Szold,0.38,0.9,N/A,0.8,0.86,0.86,0.88,0.72,0.91,0.91,N/A,0.83
01M137,P.S. 137 John L. Bernstein,0.73,1,N/A,0.66,0.79,0.63,0.88,0.52,0.89,0.86,N/A,0.69
01M140,P.S. 140 Nathan Straus,0.2,0.6,0.91,0.84,0.91,0.82,0.89,0.75,0.86,0.89,0.75,0.87
01M142,P.S. 142 Amalia Castro,0.7,0.82,N/A,0.86,0.95,0.85,0.92,0.73,0.95,0.94,N/A,0.86
01M184,P.S. 184M Shuang Wen,0.86,0.62,1,0.65,0.67,0.76,0.87,0.75,0.79,0.87,0.77,0.67
01M188,P.S. 188 The Island School,1,1,0.86,1,1,1,0.99,1,1,0.99,1,1
01M292,Henry Street School For International Studies,0.4,1,0.93,0.76,0.89,0.8,0.83,0.73,0.91,0.91,0.75,0.83
01M301,"Technology, Arts, And Sciences Studio",0.39,0.89,0.86,0.76,0.86,0.79,0.85,0.7,0.87,0.93,0.7,0.81
01M315,The East Village Community School,0.72,0.8,N/A,0.79,0.78,0.82,0.98,0.79,0.87,0.98,N/A,0.78
01M332,University Neighborhood Middle School,0.65,1,1,0.95,0.96,0.92,0.89,0.85,0.97,0.95,0.85,0.96
01M345,"Collaborative Academy Of Science, Technology, & Language-Arts Education",0.17,0.85,0.88,0.69,0.88,0.77,0.71,0.65,0.81,0.79,0.67,0.79
01M361,The Children'S Workshop School,0.35,0.59,N/A,0.89,0.94,0.93,0.96,0.85,0.93,0.95,N/A,0.9
01M363,Neighborhood School,0.63,0.96,N/A,0.85,0.89,0.88,0.93,0.85,0.91,0.91,N/A,0.88
01M364,Earth School,0.59,0.72,N/A,0.97,0.96,0.88,0.97,0.9,0.95,0.95,N/A,0.94
01M378,School For Global Leaders,0.8,0.89,0.83,0.89,0.91,0.88,0.88,0.71,0.89,0.93,0.71,0.9
01M448,University Neighborhood High School,0.36,0.96,0.9,0.91,0.95,0.91,0.85,0.76,0.92,0.91,0.77,0.94
01M450,East Side Community School,0.61,1,0.87,0.94,0.96,0.92,0.94,0.84,0.95,0.95,0.84,0.95
01M458,Forsyth Satellite Academy,0.08,1,0.46,0.79,0.76,0.79,0.86,0.76,0.8,0.91,0.78,0.76
01M509,Marta Valle High School,0.21,0.79,0.81,0.69,0.64,0.74,0.82,0.64,0.75,0.88,0.66,0.67
01M515,Lower East Side Preparatory High School,0.48,0.92,0.9,0.94,0.97,0.91,0.82,0.85,0.96,0.94,0.85,0.95
01M539,"New Explorations Into Science, Technology And Math High School",0.53,0.81,0.9,0.65,0.61,0.79,0.9,0.74,0.75,0.87,0.74,0.67
01M650,Cascades High School,0.26,1,0.78,0.89,0.96,0.8,0.85,0.76,0.95,0.93,0.78,0.9
01M696,Bard High School Early College,0.49,0.85,0.96,0.8,0.86,0.87,0.86,0.83,0.87,0.92,0.82,0.82
01M839,Tompkins Square Middle School,0.56,0.8,0.95,0.86,0.84,0.88,0.91,0.77,0.9,0.94,0.77,0.87
02M001,P.S. 001 Alfred E. Smith,0.55,0.74,N/A,0.83,0.86,0.89,0.92,0.84,0.89,0.96,N/A,0.83
02M002,P.S. 002 Meyer London,0.89,0.9,N/A,0.79,0.81,0.78,0.89,0.84,0.87,0.95,N/A,0.8
02M003,P.S. 003 Charrette School,0.59,0.64,N/A,0.89,0.94,0.91,0.96,0.84,0.94,0.94,N/A,0.9
02M006,P.S. 006 Lillie D. Blake,0.41,0.64,N/A,0.83,0.85,0.86,0.96,0.88,0.83,0.93,N/A,0.84
02M011,P.S. 011 William T. Harris,0.69,0.95,N/A,0.94,0.97,0.95,0.97,0.92,0.96,0.96,N/A,0.95
02M033,P.S. 033 Chelsea Prep,0.65,0.65,N/A,0.82,0.74,0.86,0.95,0.85,0.86,0.91,N/A,0.82
02M040,P.S. 040 Augustus Saint-Gaudens,0.46,0.42,N/A,0.95,0.94,0.94,0.98,0.91,0.98,0.97,N/A,0.94
02M041,P.S. 041 Greenwich Village,0.52,0.84,N/A,0.93,0.95,0.95,0.99,0.92,0.98,0.97,N/A,0.94
02M042,P.S. 042 Benjamin Altman,0.92,1,N/A,0.96,0.98,0.92,0.92,0.91,0.97,0.97,N/A,0.94
02M047,47 The American Sign Language And English Secondary School,0.11,0.95,0.89,0.81,0.85,0.82,0.82,0.71,0.87,0.9,0.7,0.84
02M051,P.S. 051 Elias Howe,0.75,0.77,N/A,0.91,0.92,0.94,0.94,0.89,0.93,0.93,N/A,0.91
02M059,P.S. 059 Beekman Hill International,0.59,0.68,N/A,0.91,0.91,0.93,0.97,0.96,0.91,0.94,N/A,0.92
02M077,P.S. 77 Lower Lab School,0.89,0.94,N/A,0.91,0.83,0.96,0.97,0.94,0.81,0.9,N/A,0.87
02M089,P.S. 89,0.55,0.77,N/A,0.91,0.91,0.93,0.97,0.92,0.97,0.96,N/A,0.92
02M104,J.H.S. 104 Simon Baruch,0.76,0.99,0.95,0.86,0.9,0.87,0.83,0.74,0.9,0.89,0.73,0.89
02M111,P.S. 111 Adolph S. Ochs,0.74,0.94,0.92,0.79,0.84,0.76,0.9,0.67,0.89,0.92,0.67,0.83
02M114,East Side Middle School,0.71,1,1,0.94,0.97,0.93,0.89,0.83,0.95,0.93,0.81,0.96
02M116,P.S. 116 Mary Lindley Murray,0.38,0.76,N/A,0.92,0.93,0.92,0.94,0.87,0.95,0.92,N/A,0.92
02M124,P.S. 124 Yung Wing,0.98,0.62,N/A,0.72,0.71,0.71,0.91,0.8,0.87,0.95,N/A,0.74
02M126,P.S. 126 Jacob August Riis,0.42,0.85,0.99,0.93,0.94,0.92,0.91,0.83,0.96,0.95,0.83,0.94
02M130,P.S. 130 Hernando De Soto,0.74,0.96,N/A,0.93,0.96,0.94,0.94,0.91,0.97,0.95,N/A,0.94
02M131,M.S. 131,0.46,0.88,0.87,0.88,0.92,0.82,0.84,0.77,0.93,0.94,0.77,0.88
02M135,The Urban Assembly School For Emergency Management,0.3,0.91,0.83,0.66,0.73,0.81,0.81,0.62,0.79,0.89,0.65,0.71
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.38,1,0.96,0.84,0.92,0.75,0.83,0.68,0.9,0.91,0.7,0.85
02M150,P.S. 150,0.91,1,N/A,0.91,0.96,0.97,0.98,0.91,0.95,0.92,N/A,0.94
02M151,Yorkville Community School,0.55,0.91,N/A,0.92,0.95,0.94,0.96,0.91,0.96,0.94,N/A,0.93
02M158,P.S. 158 Bayard Taylor,0.58,0.71,N/A,0.8,0.84,0.87,0.95,0.77,0.87,0.95,N/A,0.8
02M167,J.H.S. 167 Robert F. Wagner,0.77,0.91,0.94,0.8,0.88,0.82,0.85,0.76,0.9,0.9,0.76,0.85
02M177,Yorkville East Middle School,0.76,1,0.95,0.96,0.99,0.94,0.94,0.8,0.95,0.95,0.79,0.98
02M183,P.S. 183 Robert L. Stevenson,0.49,0.9,N/A,0.86,0.84,0.85,0.97,0.86,0.87,0.93,N/A,0.85
02M198,P.S. 198 Isador E. Ida Straus,0.86,0.56,N/A,0.76,0.77,0.76,0.97,0.74,0.86,0.96,N/A,0.76
02M212,P.S. 212 Midtown West,0.94,1,N/A,0.96,0.99,0.99,0.97,0.98,0.98,0.96,N/A,0.98
02M217,P.S./I.S. 217 Roosevelt Island,0.61,0.91,0.88,0.86,0.89,0.87,0.93,0.72,0.86,0.9,0.71,0.89
02M225,Ella Baker School,0.39,0.83,0.72,0.89,0.83,0.88,0.96,0.76,0.9,0.93,0.74,0.88
02M234,P.S. 234 Independence School,0.72,0.67,N/A,0.89,0.87,0.93,0.97,0.9,0.94,0.95,N/A,0.89
02M255,M.S. 255 Salk School Of Science,0.69,0.82,0.96,0.97,0.99,0.98,0.95,0.89,0.97,0.96,0.88,0.99
02M260,M.S. 260 Clinton School Writers & Artists,0.56,0.96,0.93,0.79,0.8,0.87,0.89,0.76,0.9,0.94,0.77,0.81
02M267,"East Side Elementary School, Ps 267",0.65,0.96,N/A,0.89,0.84,0.91,0.93,0.88,0.9,0.88,N/A,0.88
02M276,Battery Park City School,0.38,0.68,0.86,0.88,0.92,0.87,0.94,0.74,0.91,0.94,0.72,0.91
